factor_name,sharpe_ratio,ic,hit_rate,avg_return,volatility,n_active_positions,total_observations,avg_mse,cv_folds,avg_turnover,avg_leverage,penalized_sharpe,symbol,n_factors
"['trend_strength_10', 'realized_vol_10']",3.2198723022620284,0.002097723723598879,0.5419354838709678,0.0012835267161466436,0.006328000939004428,217,1085,0.001593121133058072,5,0.00016879299210438716,0.25739291467627873,2.5604089903722667,AAPL,2
"['trend_strength_10', 'volatility_10']",3.2198723022620284,0.0020977237235988723,0.5419354838709678,0.0012835267161466436,0.006328000939004428,217,1085,0.001593121133058072,5,0.00016879299210438716,0.25739291467627873,2.5604089903722667,AAPL,2
"['trend_strength_20', 'realized_vol_10']",2.6630541563963397,0.003000269067783799,0.5419354838709678,0.001062773193757993,0.006335207785382408,217,1085,0.0016284296941762807,5,0.0001605683194112233,0.2628999162988559,2.108413800310751,AAPL,2
"['trend_strength_20', 'volatility_10']",2.6630541563963397,0.0030002690677838092,0.5419354838709678,0.001062773193757993,0.006335207785382408,217,1085,0.0016284296941762807,5,0.0001605683194112233,0.2628999162988559,2.108413800310751,AAPL,2
['trend_strength_10'],2.594909600372907,0.002984735366773539,0.5419354838709678,0.0010324974993120555,0.006316362493899317,217,1085,0.0015967533807603389,5,0.00016997453302651356,0.21732095535393692,2.1313584657372586,AAPL,1
['momentum_10'],2.5048405156865106,0.007396932120908551,0.5419354838709678,0.0009956060654996125,0.0063096856744450595,217,1085,0.0016005482042286325,5,0.00022456743566572028,0.2155453725654933,2.060291534831107,AAPL,1
"['trend_strength_10', 'trend_strength_20']",2.4914086435847254,-0.004868109594568405,0.5465437788018433,0.0009897322018045272,0.006306276436673496,217,1085,0.0016284905466233553,5,0.00011161597496604467,0.24198363928066655,2.0058112556528322,AAPL,2
"['trend_strength_10', 'momentum_10']",2.3317790228117548,0.007217662378151576,0.5419354838709678,0.0009261538993680168,0.00630515894395281,217,1085,0.0016002938613477596,5,0.0002455069370412588,0.22062359080793575,1.9099336915961747,AAPL,2
"['momentum_10', 'realized_vol_10']",2.32636337211245,0.0050985731514266676,0.5419354838709678,0.0009268166237401685,0.006324359281371489,217,1085,0.0015958682124733406,5,0.00017557865680429015,0.26247058318276884,1.8424507533631806,AAPL,2
"['momentum_10', 'volatility_10']",2.32636337211245,0.005098573151426684,0.5419354838709678,0.0009268166237401685,0.006324359281371489,217,1085,0.0015958682124733406,5,0.00017557865680429015,0.26247058318276884,1.8424507533631806,AAPL,2
"['volatility_10', 'realized_vol_10']",2.2911575986633754,-0.059876600579875684,0.5622119815668203,0.0009112240453303712,0.006313504267047034,217,1085,0.0012619647824847371,5,0.0002161114903914204,0.2894332756268941,1.7765740220175124,MSFT,2
['volatility_10'],2.2911575986633754,-0.05987660057987571,0.5622119815668203,0.0009112240453303712,0.006313504267047034,217,1085,0.0012619647824847371,5,0.0002161114903914204,0.2894332756268941,1.7765740220175124,MSFT,1
['realized_vol_10'],2.2911575986633754,-0.05987660057987571,0.5622119815668203,0.0009112240453303712,0.006313504267047034,217,1085,0.0012619647824847371,5,0.0002161114903914204,0.2894332756268941,1.7765740220175124,MSFT,1
['trend_strength_20'],2.263903223154365,-0.0018975168719601238,0.5419354838709678,0.0008989731128613289,0.0063036067998985335,217,1085,0.0016210796078878133,5,0.00010690069126109202,0.2382322125316404,1.8281771115686802,AAPL,1
['volatility_10'],2.224108992740696,0.011221537607476312,0.5419354838709678,0.0008862161665782074,0.00632533996921155,217,1085,0.0015643540227054387,5,0.0001774178056853978,0.2625527043343714,1.7613494393966844,AAPL,1
['realized_vol_10'],2.224108992740696,0.011221537607476312,0.5419354838709678,0.0008862161665782074,0.00632533996921155,217,1085,0.0015643540227054387,5,0.0001774178056853978,0.2625527043343714,1.7613494393966844,AAPL,1
"['volatility_10', 'realized_vol_10']",2.216740712844402,0.010373572448787442,0.5419354838709678,0.0008832576006404361,0.006325178063528162,217,1085,0.001564762103389089,5,0.0001775602983262245,0.2622690366337386,1.755908501976571,AAPL,2
['mean_reversion_50'],2.1739813685604283,0.01591151986773395,0.5391705069124424,0.0008670632139298799,0.0063313338417888805,217,1085,0.0016737238259640866,5,0.0001715781035347625,0.22599835852722883,1.7729853779762657,AAPL,1
"['realized_vol_10', 'rsi_60']",2.1022117403856293,-0.05272001006460808,0.5474654377880185,0.0008346510840606234,0.006302731045150923,217,1085,0.0013161537429799922,5,0.00017129715644761796,0.28056388869432636,1.6414101553625704,MSFT,2
"['volatility_10', 'rsi_60']",2.1022117403856293,-0.05272001006460812,0.5474654377880185,0.0008346510840606234,0.006302731045150923,217,1085,0.0013161537429799922,5,0.00017129715644761796,0.28056388869432636,1.6414101553625704,MSFT,2
['momentum_5'],2.0856899973077305,0.008103403319634236,0.5419354838709678,0.0008334088475679784,0.006343203124008104,217,1085,0.0015957406583262882,5,0.0003206021107472951,0.23898737997434505,1.6829472798187177,AAPL,1
"['volatility_20', 'rsi_60']",1.9593913016123443,-0.06239987882998812,0.5585253456221199,0.0007815849020639397,0.006332209225310966,217,1085,0.0012978779210374215,5,0.00012734872322644702,0.2642892916707873,1.5496405528179102,MSFT,2
"['realized_vol_20', 'rsi_60']",1.9593913016123443,-0.062399878829988105,0.5585253456221199,0.0007815849020639397,0.006332209225310966,217,1085,0.0012978779210374215,5,0.00012734872322644702,0.2642892916707873,1.5496405528179102,MSFT,2
['realized_vol_5'],1.8879001909911697,-0.05711890358036772,0.5419354838709678,0.00075243045044217,0.00632685094341919,217,1085,0.0015805651088270922,5,0.000262946156637139,0.24117396902778027,1.5207379190192027,AAPL,1
